draw_date,n1,n2,n3,n4,n5,powerball,multiplier
2021-09-07,15,17,25,32,53,12,3
2021-09-10,20,32,35,47,64,18,2
2021-09-14,4,13,19,63,64,16,2
2021-09-17,17,32,40,59,61,18,3
2021-09-21,36,41,45,51,56,13,3
2021-09-24,17,21,27,43,56,15,3
2021-09-28,18,30,43,68,69,22,4
2021-10-01,21,25,36,62,63,6,2
2021-10-05,7,11,18,30,36,4,3
2021-10-08,21,24,36,40,70,22,5
2021-10-12,21,26,56,61,65,4,3
2021-10-15,3,20,31,34,65,18,3
2021-10-19,3,12,13,19,52,1,3
2021-10-22,9,14,26,29,66,22,3
2021-10-26,6,14,19,56,62,9,4
2021-10-29,15,26,28,35,45,4,3
2021-11-02,5,10,26,58,65,9,2
2021-11-05,10,15,20,66,68,18,2
2021-11-09,9,14,16,26,49,14,3
2021-11-12,30,32,42,46,48,15,2
2021-11-16,6,22,44,53,65,3,3
2021-11-19,5,23,52,53,59,18,5
2021-11-23,7,24,54,57,58,6,3
2021-11-26,7,27,37,42,59,2,2
2021-11-30,7,8,26,30,39,17,2
2021-12-03,22,45,48,58,61,13,5
2021-12-07,1,7,40,43,68,1,2
2021-12-10,23,25,40,42,60,8,2
2021-12-14,33,35,44,55,69,20,3
2021-12-17,21,32,38,48,62,10,3
2021-12-21,25,31,58,64,67,24,3
2021-12-24,16,17,25,36,37,16,2
2021-12-28,3,5,8,31,38,4,3
2021-12-31,2,5,30,46,61,8,3
2022-01-04,4,6,16,21,22,1,3
2022-01-07,7,29,43,56,57,6,3
2022-01-11,2,3,19,52,58,16,2
2022-01-14,5,8,13,22,48,25,2
2022-01-18,4,19,39,42,52,9,4
2022-01-21,38,45,46,55,67,18,2
2022-01-25,3,12,38,53,58,13,3
2022-01-28,3,16,25,44,55,13,3
2022-02-01,11,24,38,62,66,1,4
2022-02-04,7,16,34,44,61,24,4
2022-02-08,1,17,20,52,54,2,3
2022-02-11,11,16,23,24,30,24,3
2022-02-15,2,4,15,21,63,19,3
2022-02-18,6,11,50,63,68,17,4
2022-02-22,6,17,22,57,62,3,3
2022-02-25,15,31,40,56,66,4,3
2022-03-01,18,22,38,39,50,18,2
2022-03-04,11,19,28,46,47,5,4
2022-03-08,7,18,38,58,64,24,3
2022-03-11,24,28,39,44,66,25,3
2022-03-15,9,14,28,59,60,24,5
2022-03-18,2,6,25,40,45,5,4
2022-03-22,8,15,21,27,61,8,3
2022-03-25,3,13,42,51,58,17,2
2022-03-29,7,22,36,45,47,12,2
2022-04-01,26,42,47,48,63,21,5
2022-04-05,22,43,60,63,64,18,2
2022-04-08,8,11,29,32,40,2,3
2022-04-12,2,8,14,20,31,17,2
2022-04-15,4,17,20,46,64,23,4
2022-04-19,2,9,33,47,53,24,3
2022-04-22,7,28,29,58,59,10,3
2022-04-26,5,7,19,46,69,2,4
2022-04-29,9,11,34,49,66,15,2
2022-05-03,15,19,27,35,57,17,2
2022-05-06,16,21,33,52,70,10,2
2022-05-10,15,19,20,61,70,6,3
2022-05-13,11,41,43,44,65,13,3
2022-05-17,7,21,24,41,65,24,4
2022-05-20,33,40,59,60,69,22,3
2022-05-24,3,5,6,63,68,25,3
2022-05-27,3,14,40,53,54,8,3
2022-05-31,6,15,41,63,64,24,4
2022-06-03,11,16,22,48,59,11,4
2022-06-07,4,34,40,41,53,3,4
2022-06-10,3,12,14,18,32,4,5
2022-06-14,30,37,38,42,58,22,2
2022-06-17,20,36,53,56,69,16,2
2022-06-21,8,13,18,32,42,20,3
